transect_id,pc_id,lat,lon,year,species_code,scientific_name,common_name,hab_type
BOSACH,BOSACH_PC6,17.55106503,-90.20012397,2019,blfgro1,Caryothraustes poliogaster,Black-faced Grosbeak,forest
BOSACH,BOSACH_PC6,17.55106503,-90.20012397,2019,whfpar1,Amazona albifrons,White-fronted Amazon,forest
BOSACH,BOSACH_PC6,17.55106503,-90.20012397,2019,whbwre1,Uropsila leucogastra,White-bellied Wren,forest
BOSACH,BOSACH_PC6,17.55106503,-90.20012397,2019,scapig2,Patagioenas speciosa,Scaled Pigeon,forest
BOSACH,BOSACH_PC6,17.55106503,-90.20012397,2019,monoro1,Psarocolius montezuma,Montezuma Oropendola,forest
BOSACH,BOSACH_PC6,17.55106503,-90.20012397,2019,yeteup1,Euphonia hirundinacea,Yellow-throated Euphonia,forest
BOSACH,BOSACH_PC7,17.55313301,-90.20059898,2019,bkfant2,Formicarius moniliger,Mayan Antthrush,forest
BOSACH,BOSACH_PC7,17.55313301,-90.20059898,2019,wbwwre1,Henicorhina leucosticta,White-breasted Wood-Wren,forest
BOSACH,BOSACH_PC7,17.55313301,-90.20059898,2019,bncfly,Myiarchus tyrannulus,Brown-crested Flycatcher,forest
BOSACH,BOSACH_PC7,17.55313301,-90.20059898,2019,bkcori,Icterus prosthemelas,Black-cowled Oriole,forest
BOSACH,BOSACH_PC7,17.55313301,-90.20059898,2019,mastit1,Tityra semifasciata,Masked Tityra,forest
BOSACH,BOSACH_PC7,17.55313301,-90.20059898,2019,sumtan,Piranga rubra,Summer Tanager,forest
BOSACH,BOSACH_PC7,17.55313301,-90.20059898,2019,bobfly1,Megarynchus pitangua,Boat-billed Flycatcher,forest
BOSACH,BOSACH_PC8,17.55457403,-90.20210898,2019,monoro1,Psarocolius montezuma,Montezuma Oropendola,forest
BOSACH,BOSACH_PC8,17.55457403,-90.20210898,2019,thlsch2,Schiffornis veraepacis,Northern Schiffornis,forest
BOSACH,BOSACH_PC8,17.55457403,-90.20210898,2019,ducfly,Myiarchus tuberculifer,Dusky-capped Flycatcher,forest
BOSACH,BOSACH_PC8,17.55457403,-90.20210898,2019,yewtan1,Thraupis abbas,Yellow-winged Tanager,forest
BOSACH,BOSACH_PC8,17.55457403,-90.20210898,2019,smbwoo1,Leuconotopicus fumigatus,Smoky-brown Woodpecker,forest
BOSACH,BOSACH_PC8,17.55457403,-90.20210898,2019,relhon1,Cyanerpes cyaneus,Red-legged Honeycreeper,forest
BOSACH,BOSACH_PC8,17.55457403,-90.20210898,2019,whcsee1,Sporophila morelleti,Morelet's Seedeater,forest
BOSACH,BOSACH_PC8,17.55457403,-90.20210898,2019,bncfly,Myiarchus tyrannulus,Brown-crested Flycatcher,forest
BOSACH,BOSACH_PC8,17.55457403,-90.20210898,2019,sumtan,Piranga rubra,Summer Tanager,forest
BOSACH,BOSACH_PC8,17.55457403,-90.20210898,2019,eyrfla1,Rhynchocyclus brevirostris,Eye-ringed Flatbill,forest
BOSACH,BOSACH_PC8,17.55457403,-90.20210898,2019,tacgre2,Tunchiornis ochraceiceps,Ochre-crowned Greenlet,forest
BOSACH,BOSACH_PC8,17.55457403,-90.20210898,2019,yegvir,Vireo flavoviridis,Yellow-green Vireo,forest
BOSACH,BOSACH_PC7,17.55313301,-90.20059898,2019,cregua1,Penelope purpurascens,Crested Guan,forest
BOSACH,BOSACH_PC7,17.55313301,-90.20059898,2019,balori,Icterus galbula,Baltimore Oriole,forest
BOSACH,BOSACH_PC6,17.55106503,-90.20012397,2019,reevir1,Vireo olivaceus,Red-eyed Vireo,forest
BOSACH,BOSACH_PC6,17.55106503,-90.20012397,2019,screup1,Euphonia affinis,Scrub Euphonia,forest
BOSACH,BOSACH_PC5,17.54895003,-90.19951,2019,slttro1,Trogon massena,Slaty-tailed Trogon,forest
BOSACH,BOSACH_PC5,17.54895003,-90.19951,2019,eyrfla1,Rhynchocyclus brevirostris,Eye-ringed Flatbill,forest
BOSACH,BOSACH_PC5,17.54895003,-90.19951,2019,whbeme1,Chlorestes candida,White-bellied Emerald,forest
BOSACH,BOSACH_PC5,17.54895003,-90.19951,2019,subfly,Myiodynastes luteiventris,Sulphur-bellied Flycatcher,forest
BOSACH,BOSACH_PC4,17.54730097,-90.19812296,2019,whbwre1,Uropsila leucogastra,White-bellied Wren,forest
